"lon","lat"
103.8708,1.3042
103.8792,1.3042
103.8875,1.3042
103.8958,1.3042
103.9042,1.3042
103.9125,1.3042
103.9208,1.3042
103.6208,1.2958
103.6292,1.2958
103.6375,1.2958
103.6625,1.2958
103.6708,1.2958
103.7625,1.2958
103.7708,1.2958
103.7792,1.2958
103.7875,1.2958
103.7958,1.2958
103.8042,1.2958
103.8125,1.2958
103.8208,1.2958
103.8292,1.2958
103.8375,1.2958
103.8458,1.2958
103.8542,1.2958
103.8625,1.2958
103.8708,1.2958
103.8792,1.2958
103.8875,1.2958
103.8958,1.2958
103.6292,1.2875
103.6375,1.2875
103.6458,1.2875
103.6875,1.2875
103.7125,1.2875
103.7208,1.2875
103.7708,1.2875
103.7792,1.2875
103.7875,1.2875
103.7958,1.2875
103.8042,1.2875
103.8125,1.2875
103.8208,1.2875
103.8292,1.2875
103.8375,1.2875
103.8458,1.2875
103.8542,1.2875
103.8708,1.2875
103.8792,1.2875
103.6208,1.2792
103.6292,1.2792
103.6375,1.2792
103.6708,1.2792
103.6792,1.2792
103.6958,1.2792
103.7042,1.2792
103.7125,1.2792
103.7208,1.2792
103.7292,1.2792
103.7542,1.2792
103.7625,1.2792
103.7708,1.2792
103.7792,1.2792
103.7875,1.2792
103.7958,1.2792
103.8042,1.2792
103.8125,1.2792
103.8208,1.2792
103.8292,1.2792
103.8375,1.2792
103.8458,1.2792
103.8542,1.2792
103.8625,1.2792
103.6208,1.2708
103.6292,1.2708
103.6375,1.2708
103.6625,1.2708
103.6708,1.2708
103.6792,1.2708
103.6875,1.2708
103.6958,1.2708
103.7042,1.2708
103.7125,1.2708
103.7208,1.2708
103.7292,1.2708
103.7375,1.2708
103.7708,1.2708
103.7958,1.2708
103.8042,1.2708
103.8125,1.2708
103.8208,1.2708
103.8292,1.2708
103.8375,1.2708
103.8458,1.2708
103.8625,1.2708
103.6208,1.2625
103.6625,1.2625
103.6708,1.2625
103.6792,1.2625
103.6958,1.2625
103.7042,1.2625
103.7208,1.2625
103.8208,1.2625
103.8458,1.2625
103.6708,1.2542
103.6792,1.2542
103.7042,1.2542
103.6708,1.2458
103.6875,1.2458
103.6208,1.2375
103.6792,1.2375
103.6125,1.2208
